147,n,treasure of sierra madre,1948,amazon,english,126
148,n,monty python,1975,netflix,english,91
149,y,no country for old men,2007,,,0
150,n,great escape,1963,hbo max,english,172
151,y,kill bill,2003,tubi,english,0
152,y,rashomon,1950,hbo max,japanese,98
153,n,the thing,1982,amazon,english,109
154,y,spiderman no way home,2021,,,0
155,y,finding nemo,2003,,,0
156,y,elephant man,1980,amazon,english,124
157,y,china town,1974,showtime,english,0
158,n,raging bull,1980,hbo max,english,129
159,y,v for vendetta,2005,amazon,english,132
160,n,gone with the wind,1939,hbo max,english,238
161,y,lock stock and 2 smoking barrels,1998,prime,english,0
162,y,dial m for murder,1954,,,0
163,y,inside out,2015,amazon,english,95
164,y,secret in their eyes,2009,tubi,spanish,129
165,n,howls moving castle,2004,hbo max,japanese,119
166,y,3 billboards,2017,,,0
167,y,transpotting,1996,amazon,english,93
168,y,bridge on river kwai,1957,,,0
169,y,prisoners,2013,,,0
170,y,warrior,2011,,,0
171,y,fargo,1996,showtime,english,0
172,y,gran torino,2008,amazon,english,116
173,n,my neighbor totoro,1988,hbo max,japanese,86
174,y,catch me if you can,2002,,,0
175,y,million dollar baby,2004,,,0
176,n,children of heaven,1997,amazon,persian,89
177,n,blade runner,1982,hbo max,english,117
178,y,gold rush,1921,,,0
179,y,klaus,2019,netflix,english,96
180,y,harry potter deathly hallows 2,2011,hbo max,english,130
181,n,before sunrise,1995,amazon,english,101
182,y,12 years a slave,2013,,,0
183,n,on the waterfront,1954,amazon,english,108
184,n,ben hur,1959,amazon,english,212
185,y,grand budapest hotel,2014,,,0
186,y,gone girl,2014,,,0
187,y,wild strawberries,1957,hbo max,sweedish,91
188,n,the general,1926,paramount,english,67
189,n,barry lyndon,1975,amazon,english,185
190,n,in the name of the father,1993,amazon,english,133
191,y,deer hunter,1978,amazon,english,183
192,n,the third man,1949,amazon,english,93
193,y,hacksaw ridge,2016,,,0
194,y,wages of fear,1953,hbo max,french,131
195,y,memories of murder,2003,amazon,korean,132
196,y,sherlock jr,1924,tubi,english,0
197,n,wild tales,2014,prime,spanish,122
198,n,mr smith goes to washington,1939,amazon,english,129
199,y,mad max fury road,2015,,,0
200,n,mary and max,2009,tubi,english,92
201,y,seventh seal,1957,hbo max,sweedish,0
202,y,how to train your dragon,2010,netflix,english,98
203,y,monsters inc,2001,,,0
204,y,dead poets society,1989,paramount,english,0
205,y,jaws,1975,,,0
206,y,room,2015,,,0
207,y,big lebowski,1998,prime,english,117
208,y,tokyo story,1953,hbo max,japanese,136
209,y,passion of joan arc,1928,hbo max,french,114
210,y,ford v ferrari,2019,,,0
211,y,hotel rwanda,2004,tubi,english,121
212,y,rocky,1976,netflix,english,120
213,y,platoon,1986,hbo max,english,120
214,y,ratatouille,2007,,,0
215,y,spotlight,2015,,,0
216,y,logan,2017,,,0
217,n,terminator,1984,hbo max,english,107
